run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
ns,ns,a5028fe,Roman footprint only,Rubin detects,0.03,4506,346.8913319328445,8.444509375779711,355.61193804324927,8.723895740428079
ns,ns,a5028fe,Roman footprint only,Rubin detects,0.06,4506,693.782663865689,16.889018751559423,711.2238760864985,17.447791480856157
ns,ns,a5028fe,Roman footprint only,Roman detects,0.005,18047,289.72491800984733,3.247947328208625,302.9648928839493,3.568841701227297
ns,ns,a5028fe,Roman footprint only,Roman detects,0.01,18047,579.4498360196947,6.49589465641725,605.9297857678986,7.137683402454594
ns,ns,a5028fe,Roman footprint only,Roman detects,0.03,18047,1738.3495080590837,19.48768396925175,1817.7893573036956,21.41305020736378
ns,ns,a5028fe,Roman footprint only,Roman detects,0.06,18047,3476.6990161181675,38.9753679385035,3635.5787146073912,42.82610041472756
ns,ns,a5028fe,Roman footprint only,both detect,0.005,3606,37.59771325851856,1.0975426751291686,38.69174930783968,1.1440467900100662
ns,ns,a5028fe,Roman footprint only,both detect,0.01,3606,75.19542651703712,2.195085350258337,77.38349861567936,2.2880935800201323
ns,ns,a5028fe,Roman footprint only,both detect,0.03,3606,225.58627955111135,6.585256050775011,232.15049584703806,6.864280740060397
ns,ns,a5028fe,Roman footprint only,both detect,0.06,3606,451.1725591022227,13.170512101550022,464.3009916940761,13.728561480120794
ns,ns,a5028fe,Roman footprint only,Rubin only,0.005,900,20.217508730288852,0.8810369733596527,20.576907032701865,0.8973418587307846
ns,ns,a5028fe,Roman footprint only,Rubin only,0.01,900,40.435017460577704,1.7620739467193054,41.15381406540373,1.7946837174615693
ns,ns,a5028fe,Roman footprint only,Rubin only,0.03,900,121.3050523817331,5.286221840157916,123.46144219621118,5.384051152384707
ns,ns,a5028fe,Roman footprint only,Rubin only,0.06,900,242.6101047634662,10.572443680315832,246.92288439242236,10.768102304769414
ns,ns,a5028fe,Roman footprint only,Roman only,0.005,14441,252.12720475132875,3.0568876202909157,264.27314357610965,3.380501150818708
ns,ns,a5028fe,Roman footprint only,Roman only,0.01,14441,504.2544095026575,6.113775240581831,528.5462871522193,6.761002301637416
ns,ns,a5028fe,Roman footprint only,Roman only,0.03,14441,1512.7632285079724,18.34132572174549,1585.6388614566577,20.283006904912245
ns,ns,a5028fe,Roman footprint only,Roman only,0.06,14441,3025.5264570159447,36.68265144349098,3171.2777229133153,40.56601380982449
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.005,198,0.20256959564375507,0.022412630771974792,0.2042893256754362,0.022543136634391378
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.01,198,0.40513919128751014,0.044825261543949585,0.4085786513508724,0.045086273268782756
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.03,198,1.2154175738625304,0.13447578463184873,1.2257359540526171,0.13525881980634824
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.06,198,2.4308351477250607,0.26895156926369745,2.4514719081052343,0.2705176396126965
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.005,1655,4.801838384732942,0.24727460651221525,5.018773327684661,0.27419729476428295
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.01,1655,9.603676769465885,0.4945492130244305,10.037546655369322,0.5483945895285659
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.03,1655,28.811030308397655,1.4836476390732913,30.112639966107963,1.6451837685856976
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.06,1655,57.62206061679531,2.9672952781465827,60.225279932215926,3.290367537171395
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.005,2790,11.428295611657663,0.4483876297182544,11.930674640684233,0.4861932739200026
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.01,2790,22.856591223315327,0.8967752594365088,23.861349281368465,0.9723865478400052
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.03,2790,68.56977366994597,2.6903257783095262,71.5840478441054,2.9171596435200153
ns,ns,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.06,2790,137.13954733989195,5.3806515566190525,143.1680956882108,5.834319287040031
ns,ns,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.005,3183,12.996992857088571,0.4760815935600258,13.52628242280231,0.5123018106331291
ns,ns,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.01,3183,25.993985714177143,0.9521631871200515,27.05256484560462,1.0246036212662581
ns,ns,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.03,3183,77.98195714253143,2.856489561360154,81.15769453681386,3.073810863798774
ns,ns,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.06,3183,155.96391428506286,5.712979122720308,162.31538907362773,6.147621727597548
